Domain,QID,Tone,Run 1
Formal Logic,158,Very Rude,100
Formal Logic,178,Very Friendly,100
Formal Logic,178,Friendly,100
Formal Logic,178,Neutral,100
Formal Logic,178,Rude,100
Formal Logic,178,Very Rude,100
Formal Logic,180,Very Friendly,100
Formal Logic,180,Friendly,100
Formal Logic,180,Neutral,100
Formal Logic,180,Rude,100
Formal Logic,180,Very Rude,100
Formal Logic,200,Very Friendly,100
Formal Logic,200,Friendly,100
Formal Logic,200,Neutral,100
Formal Logic,200,Rude,100
Formal Logic,200,Very Rude,100
Formal Logic,228,Very Friendly,100
Formal Logic,228,Friendly,100
Formal Logic,228,Neutral,100
Formal Logic,228,Rude,100
Formal Logic,228,Very Rude,100
Formal Logic,231,Very Friendly,0
Formal Logic,231,Friendly,0
Formal Logic,231,Neutral,0
Formal Logic,231,Rude,0
Formal Logic,231,Very Rude,0
Formal Logic,234,Very Friendly,100
Formal Logic,234,Friendly,100
Formal Logic,234,Neutral,100
Formal Logic,234,Rude,100
Formal Logic,234,Very Rude,100
Formal Logic,239,Very Friendly,100
Formal Logic,239,Friendly,100
Formal Logic,239,Neutral,100
Formal Logic,239,Rude,100
Formal Logic,239,Very Rude,100
Formal Logic,241,Very Friendly,100
Formal Logic,241,Friendly,100
Formal Logic,241,Neutral,100
Formal Logic,241,Rude,100
Formal Logic,241,Very Rude,100
Formal Logic,249,Very Friendly,100
Formal Logic,249,Friendly,100
Formal Logic,249,Neutral,100
Formal Logic,249,Rude,100
Formal Logic,249,Very Rude,100
Formal Logic,253,Very Friendly,100
Formal Logic,253,Friendly,100
Formal Logic,253,Neutral,100
Formal Logic,253,Rude,100
Formal Logic,253,Very Rude,100
Formal Logic,275,Very Friendly,100
Formal Logic,275,Friendly,100
Formal Logic,275,Neutral,100
Formal Logic,275,Rude,100
Formal Logic,275,Very Rude,100
Formal Logic,288,Very Friendly,100
Formal Logic,288,Friendly,100
Formal Logic,288,Neutral,100
Formal Logic,288,Rude,100
Formal Logic,288,Very Rude,100
Formal Logic,291,Very Friendly,100
Formal Logic,291,Friendly,100
Formal Logic,291,Neutral,100
Formal Logic,291,Rude,100
Formal Logic,291,Very Rude,100
Formal Logic,292,Very Friendly,100
Formal Logic,292,Friendly,0
Formal Logic,292,Neutral,0
Formal Logic,292,Rude,0
Formal Logic,292,Very Rude,0
Formal Logic,297,Very Friendly,100
Formal Logic,297,Friendly,100
Formal Logic,297,Neutral,100
Formal Logic,297,Rude,100
Formal Logic,297,Very Rude,100
Formal Logic,298,Very Friendly,0
Formal Logic,298,Friendly,0
Formal Logic,298,Neutral,0
Formal Logic,298,Rude,0
Formal Logic,298,Very Rude,0
Formal Logic,299,Very Friendly,100
Formal Logic,299,Friendly,100
Formal Logic,299,Neutral,100
Formal Logic,299,Rude,100
Formal Logic,299,Very Rude,100
Formal Logic,316,Very Friendly,100
Formal Logic,316,Friendly,100
Formal Logic,316,Neutral,100
Formal Logic,316,Rude,100
Formal Logic,316,Very Rude,100
Formal Logic,319,Very Friendly,100
Formal Logic,319,Friendly,100
Formal Logic,319,Neutral,100
Formal Logic,319,Rude,100
Formal Logic,319,Very Rude,100
Formal Logic,323,Very Friendly,100
Formal Logic,323,Friendly,100
Formal Logic,323,Neutral,100
Formal Logic,323,Rude,100
Formal Logic,323,Very Rude,100
Formal Logic,351,Very Friendly,100
Formal Logic,351,Friendly,100
Formal Logic,351,Neutral,100
Formal Logic,351,Rude,100
Formal Logic,351,Very Rude,100
Formal Logic,355,Very Friendly,100
Formal Logic,355,Friendly,100
Formal Logic,355,Neutral,100
Formal Logic,355,Rude,100
Formal Logic,355,Very Rude,100
Formal Logic,372,Very Friendly,100
Formal Logic,372,Friendly,100
Formal Logic,372,Neutral,100
Formal Logic,372,Rude,100
Formal Logic,372,Very Rude,100
Formal Logic,374,Very Friendly,100
Formal Logic,374,Friendly,100
Formal Logic,374,Neutral,100
Formal Logic,374,Rude,100
Formal Logic,374,Very Rude,100
Formal Logic,388,Very Friendly,100
Formal Logic,388,Friendly,100
Formal Logic,388,Neutral,100
Formal Logic,388,Rude,100
Formal Logic,388,Very Rude,100
Formal Logic,394,Very Friendly,100
Formal Logic,394,Friendly,100
Formal Logic,394,Neutral,100
Formal Logic,394,Rude,100
Formal Logic,394,Very Rude,100
Formal Logic,415,Very Friendly,100
Formal Logic,415,Friendly,100
Formal Logic,415,Neutral,100
Formal Logic,415,Rude,100
Formal Logic,415,Very Rude,100
Formal Logic,416,Very Friendly,100
Formal Logic,416,Friendly,100
Formal Logic,416,Neutral,100
Formal Logic,416,Rude,100
Formal Logic,416,Very Rude,100
Formal Logic,417,Very Friendly,100
Formal Logic,417,Friendly,100
Formal Logic,417,Neutral,100
Formal Logic,417,Rude,100
Formal Logic,417,Very Rude,100
Formal Logic,430,Very Friendly,100
Formal Logic,430,Friendly,100
Formal Logic,430,Neutral,100
Formal Logic,430,Rude,100
Formal Logic,430,Very Rude,100
Formal Logic,444,Very Friendly,100
Formal Logic,444,Friendly,100
Formal Logic,444,Neutral,100
Formal Logic,444,Rude,100
Formal Logic,444,Very Rude,100
Formal Logic,466,Very Friendly,100
Formal Logic,466,Friendly,100
Formal Logic,466,Neutral,100
Formal Logic,466,Rude,100
Formal Logic,466,Very Rude,100
Formal Logic,469,Very Friendly,100
Formal Logic,469,Friendly,100
Formal Logic,469,Neutral,100
Formal Logic,469,Rude,100
Formal Logic,469,Very Rude,100
Formal Logic,472,Very Friendly,0
Formal Logic,472,Friendly,0
Formal Logic,472,Neutral,0
Formal Logic,472,Rude,0
Formal Logic,472,Very Rude,0
Formal Logic,473,Very Friendly,100
Formal Logic,473,Friendly,100
Formal Logic,473,Neutral,100
Formal Logic,473,Rude,100
Formal Logic,473,Very Rude,100
Formal Logic,479,Very Friendly,0
Formal Logic,479,Friendly,0
Formal Logic,479,Neutral,0
Formal Logic,479,Rude,0
Formal Logic,479,Very Rude,0
Formal Logic,487,Very Friendly,100
Formal Logic,487,Friendly,100
Formal Logic,487,Neutral,100
Formal Logic,487,Rude,100
Formal Logic,487,Very Rude,100
Formal Logic,498,Very Friendly,0
Formal Logic,498,Friendly,100
Formal Logic,498,Neutral,100
Formal Logic,498,Rude,100
Formal Logic,498,Very Rude,0
Formal Logic,502,Very Friendly,100
Formal Logic,502,Friendly,100
Formal Logic,502,Neutral,100
Formal Logic,502,Rude,100
Formal Logic,502,Very Rude,100
Formal Logic,506,Very Friendly,100
Formal Logic,506,Friendly,100
Formal Logic,506,Neutral,100
Formal Logic,506,Rude,100
Formal Logic,506,Very Rude,100
Formal Logic,531,Very Friendly,100
Formal Logic,531,Friendly,100
Formal Logic,531,Neutral,100
Formal Logic,531,Rude,100
Formal Logic,531,Very Rude,100
Formal Logic,534,Very Friendly,0
Formal Logic,534,Friendly,0
Formal Logic,534,Neutral,0
Formal Logic,534,Rude,0
Formal Logic,534,Very Rude,0
Formal Logic,535,Very Friendly,100
Formal Logic,535,Friendly,100
Formal Logic,535,Neutral,100
Formal Logic,535,Rude,100
Formal Logic,535,Very Rude,100
Formal Logic,539,Very Friendly,100
Formal Logic,539,Friendly,100
Formal Logic,539,Neutral,100
Formal Logic,539,Rude,100
Formal Logic,539,Very Rude,100
Formal Logic,545,Very Friendly,100
Formal Logic,545,Friendly,100
Formal Logic,545,Neutral,100
Formal Logic,545,Rude,100
Formal Logic,545,Very Rude,100
Formal Logic,556,Very Friendly,100
Formal Logic,556,Friendly,100
Formal Logic,556,Neutral,0
Formal Logic,556,Rude,0
Formal Logic,556,Very Rude,0
Formal Logic,562,Very Friendly,100
Formal Logic,562,Friendly,100
Formal Logic,562,Neutral,100
Formal Logic,562,Rude,100
Formal Logic,562,Very Rude,100
Formal Logic,568,Very Friendly,100
Formal Logic,568,Friendly,100
Formal Logic,568,Neutral,100
Formal Logic,568,Rude,100
Formal Logic,568,Very Rude,100
Formal Logic,578,Very Friendly,100
Formal Logic,578,Friendly,100
Formal Logic,578,Neutral,100
Formal Logic,578,Rude,100
Formal Logic,578,Very Rude,100
Formal Logic,585,Very Friendly,100
Formal Logic,585,Friendly,100
Formal Logic,585,Neutral,100
Formal Logic,585,Rude,100
Formal Logic,585,Very Rude,100
Formal Logic,587,Very Friendly,0
Formal Logic,587,Friendly,0
Formal Logic,587,Neutral,0
Formal Logic,587,Rude,0
Formal Logic,587,Very Rude,0
Formal Logic,597,Very Friendly,100
Formal Logic,597,Friendly,100
Formal Logic,597,Neutral,100
Formal Logic,597,Rude,100
Formal Logic,597,Very Rude,100
Formal Logic,622,Very Friendly,0
Formal Logic,622,Friendly,0
Formal Logic,622,Neutral,0
Formal Logic,622,Rude,0
Formal Logic,622,Very Rude,0
Formal Logic,627,Very Friendly,100
Formal Logic,627,Friendly,100
Formal Logic,627,Neutral,100
Formal Logic,627,Rude,100
Formal Logic,627,Very Rude,100
Formal Logic,634,Very Friendly,100
Formal Logic,634,Friendly,100
Formal Logic,634,Neutral,100
Formal Logic,634,Rude,100
Formal Logic,634,Very Rude,100
Formal Logic,643,Very Friendly,100
Formal Logic,643,Friendly,100
Formal Logic,643,Neutral,100
Formal Logic,643,Rude,100
Formal Logic,643,Very Rude,100
Formal Logic,656,Very Friendly,100
Formal Logic,656,Friendly,100
Formal Logic,656,Neutral,100
Formal Logic,656,Rude,100
Formal Logic,656,Very Rude,100
Formal Logic,669,Very Friendly,100
Formal Logic,669,Friendly,100
Formal Logic,669,Neutral,100
Formal Logic,669,Rude,100
Formal Logic,669,Very Rude,100
Formal Logic,677,Very Friendly,100
Formal Logic,677,Friendly,100
Formal Logic,677,Neutral,100
Formal Logic,677,Rude,100
Formal Logic,677,Very Rude,100
Formal Logic,678,Very Friendly,100
Formal Logic,678,Friendly,100
Formal Logic,678,Neutral,100
Formal Logic,678,Rude,100
Formal Logic,678,Very Rude,100
Formal Logic,684,Very Friendly,100
Formal Logic,684,Friendly,100
Formal Logic,684,Neutral,100
Formal Logic,684,Rude,100
Formal Logic,684,Very Rude,100
Formal Logic,706,Very Friendly,100
Formal Logic,706,Friendly,100
Formal Logic,706,Neutral,100
Formal Logic,706,Rude,100
Formal Logic,706,Very Rude,100
Formal Logic,719,Very Friendly,100
Formal Logic,719,Friendly,100
Formal Logic,719,Neutral,100
Formal Logic,719,Rude,100
Formal Logic,719,Very Rude,100
Formal Logic,722,Very Friendly,100
Formal Logic,722,Friendly,100
Formal Logic,722,Neutral,100
Formal Logic,722,Rude,100
Formal Logic,722,Very Rude,100
Formal Logic,732,Very Friendly,100
Formal Logic,732,Friendly,100
Formal Logic,732,Neutral,100
Formal Logic,732,Rude,100
Formal Logic,732,Very Rude,100
Formal Logic,735,Very Friendly,100
Formal Logic,735,Friendly,100
Formal Logic,735,Neutral,100
Formal Logic,735,Rude,100
Formal Logic,735,Very Rude,100
Formal Logic,743,Very Friendly,100
Formal Logic,743,Friendly,100
Formal Logic,743,Neutral,100
Formal Logic,743,Rude,100
Formal Logic,743,Very Rude,100
Formal Logic,757,Very Friendly,100
Formal Logic,757,Friendly,100
Formal Logic,757,Neutral,100
Formal Logic,757,Rude,100
Formal Logic,757,Very Rude,100
Formal Logic,766,Very Friendly,100
Formal Logic,766,Friendly,100
Formal Logic,766,Neutral,100
Formal Logic,766,Rude,100
Formal Logic,766,Very Rude,100
Formal Logic,777,Very Friendly,100
Formal Logic,777,Friendly,100
Formal Logic,777,Neutral,100
Formal Logic,777,Rude,100
Formal Logic,777,Very Rude,100
Formal Logic,788,Very Friendly,100
Formal Logic,788,Friendly,100
Formal Logic,788,Neutral,100
Formal Logic,788,Rude,100
Formal Logic,788,Very Rude,100
Formal Logic,799,Very Friendly,100
Formal Logic,799,Friendly,100
Formal Logic,799,Neutral,100
Formal Logic,799,Rude,100
Formal Logic,799,Very Rude,100
Formal Logic,803,Very Friendly,100
Formal Logic,803,Friendly,100
Formal Logic,803,Neutral,100
Formal Logic,803,Rude,100
Formal Logic,803,Very Rude,100
Formal Logic,804,Very Friendly,0
Formal Logic,804,Friendly,0
Formal Logic,804,Neutral,0
Formal Logic,804,Rude,0
Formal Logic,804,Very Rude,0
Formal Logic,806,Very Friendly,100
Formal Logic,806,Friendly,100
Formal Logic,806,Neutral,100
Formal Logic,806,Rude,100
Formal Logic,806,Very Rude,100
Formal Logic,813,Very Friendly,100
Formal Logic,813,Friendly,100
Formal Logic,813,Neutral,100
Formal Logic,813,Rude,100
Formal Logic,813,Very Rude,100
Formal Logic,830,Very Friendly,100
Formal Logic,830,Friendly,100
Formal Logic,830,Neutral,100
Formal Logic,830,Rude,100
Formal Logic,830,Very Rude,100
Formal Logic,834,Very Friendly,100
Formal Logic,834,Friendly,100
Formal Logic,834,Neutral,100
Formal Logic,834,Rude,100
Formal Logic,834,Very Rude,100
Formal Logic,857,Very Friendly,100
Formal Logic,857,Friendly,100
Formal Logic,857,Neutral,100
Formal Logic,857,Rude,100
Formal Logic,857,Very Rude,100
Formal Logic,878,Very Friendly,100
Formal Logic,878,Friendly,100
Formal Logic,878,Neutral,100
Formal Logic,878,Rude,100
Formal Logic,878,Very Rude,100
Formal Logic,880,Very Friendly,100
Formal Logic,880,Friendly,100
Formal Logic,880,Neutral,100
Formal Logic,880,Rude,100
Formal Logic,880,Very Rude,100
Formal Logic,882,Very Friendly,100
Formal Logic,882,Friendly,100
Formal Logic,882,Neutral,100
Formal Logic,882,Rude,100
Formal Logic,882,Very Rude,100
Formal Logic,890,Very Friendly,0
Formal Logic,890,Friendly,0
Formal Logic,890,Neutral,0
Formal Logic,890,Rude,0
Formal Logic,890,Very Rude,0
Formal Logic,897,Very Friendly,100
Formal Logic,897,Friendly,100
Formal Logic,897,Neutral,100
Formal Logic,897,Rude,100
Formal Logic,897,Very Rude,100
Formal Logic,908,Very Friendly,100
Formal Logic,908,Friendly,100
Formal Logic,908,Neutral,100
Formal Logic,908,Rude,100
Formal Logic,908,Very Rude,100
Formal Logic,912,Very Friendly,100
Formal Logic,912,Friendly,100
Formal Logic,912,Neutral,100
Formal Logic,912,Rude,100
Formal Logic,912,Very Rude,100
Formal Logic,927,Very Friendly,100
Formal Logic,927,Friendly,100
Formal Logic,927,Neutral,100
Formal Logic,927,Rude,100
Formal Logic,927,Very Rude,100
Formal Logic,945,Very Friendly,100
Formal Logic,945,Friendly,100
Formal Logic,945,Neutral,100
Formal Logic,945,Rude,100
Formal Logic,945,Very Rude,100
Formal Logic,950,Very Friendly,100
Formal Logic,950,Friendly,100
Formal Logic,950,Neutral,100
Formal Logic,950,Rude,100
Formal Logic,950,Very Rude,100
Formal Logic,961,Very Friendly,100
Formal Logic,961,Friendly,100
Formal Logic,961,Neutral,100
Formal Logic,961,Rude,100
Formal Logic,961,Very Rude,100
Formal Logic,978,Very Friendly,100
Formal Logic,978,Friendly,100
Formal Logic,978,Neutral,100
Formal Logic,978,Rude,100
Formal Logic,978,Very Rude,100
Formal Logic,995,Very Friendly,100
Formal Logic,995,Friendly,100
Formal Logic,995,Neutral,100
Formal Logic,995,Rude,100
Formal Logic,995,Very Rude,100
Formal Logic,997,Very Friendly,0
Formal Logic,997,Friendly,0
Formal Logic,997,Neutral,0
Formal Logic,997,Rude,0
Formal Logic,997,Very Rude,0
Formal Logic,1000,Very Friendly,100
Formal Logic,1000,Friendly,100
Formal Logic,1000,Neutral,100
Formal Logic,1000,Rude,100
Formal Logic,1000,Very Rude,100
Formal Logic,1019,Very Friendly,100
Formal Logic,1019,Friendly,100
Formal Logic,1019,Neutral,100
Formal Logic,1019,Rude,100
Formal Logic,1019,Very Rude,0
Formal Logic,1021,Very Friendly,100
Formal Logic,1021,Friendly,100
Formal Logic,1021,Neutral,100
Formal Logic,1021,Rude,100
Formal Logic,1021,Very Rude,100
Formal Logic,1025,Very Friendly,100
Formal Logic,1025,Friendly,100
Formal Logic,1025,Neutral,100
Formal Logic,1025,Rude,100
Formal Logic,1025,Very Rude,100
Formal Logic,1028,Very Friendly,100
Formal Logic,1028,Friendly,100
Formal Logic,1028,Neutral,100
Formal Logic,1028,Rude,100
Formal Logic,1028,Very Rude,100
Formal Logic,1033,Very Friendly,100
Formal Logic,1033,Friendly,100
Formal Logic,1033,Neutral,100
Formal Logic,1033,Rude,100
Formal Logic,1033,Very Rude,100
Formal Logic,1039,Very Friendly,100
Formal Logic,1039,Friendly,100
Formal Logic,1039,Neutral,100
Formal Logic,1039,Rude,100
Formal Logic,1039,Very Rude,100
Formal Logic,1045,Very Friendly,0
Formal Logic,1045,Friendly,0
Formal Logic,1045,Neutral,0
Formal Logic,1045,Rude,0
Formal Logic,1045,Very Rude,0
Formal Logic,1048,Very Friendly,100
Formal Logic,1048,Friendly,100
Formal Logic,1048,Neutral,100
Formal Logic,1048,Rude,100
Formal Logic,1048,Very Rude,100
Formal Logic,1053,Very Friendly,100
Formal Logic,1053,Friendly,100
Formal Logic,1053,Neutral,100
Formal Logic,1053,Rude,100
Formal Logic,1053,Very Rude,100
Formal Logic,1056,Very Friendly,100
Formal Logic,1056,Friendly,100
Formal Logic,1056,Neutral,100
Formal Logic,1056,Rude,100
Formal Logic,1056,Very Rude,100
Formal Logic,1057,Very Friendly,100
Formal Logic,1057,Friendly,100
Formal Logic,1057,Neutral,100
Formal Logic,1057,Rude,100
Formal Logic,1057,Very Rude,100
Formal Logic,1058,Very Friendly,100
Formal Logic,1058,Friendly,100
Formal Logic,1058,Neutral,100
Formal Logic,1058,Rude,100
Formal Logic,1058,Very Rude,100
Formal Logic,1062,Very Friendly,100
Formal Logic,1062,Friendly,100
Formal Logic,1062,Neutral,100
Formal Logic,1062,Rude,100
Formal Logic,1062,Very Rude,100
Formal Logic,1074,Very Friendly,100
Formal Logic,1074,Friendly,100
Formal Logic,1074,Neutral,100
Formal Logic,1074,Rude,100
Formal Logic,1074,Very Rude,100
Formal Logic,1076,Very Friendly,100
Formal Logic,1076,Friendly,100
Formal Logic,1076,Neutral,100
Formal Logic,1076,Rude,100
Formal Logic,1076,Very Rude,100
Formal Logic,1091,Very Friendly,100
Formal Logic,1091,Friendly,100
Formal Logic,1091,Neutral,100
Formal Logic,1091,Rude,100
Formal Logic,1091,Very Rude,100
Formal Logic,1109,Very Friendly,100
Formal Logic,1109,Friendly,100
Formal Logic,1109,Neutral,100
Formal Logic,1109,Rude,100
Formal Logic,1109,Very Rude,100
Formal Logic,1114,Very Friendly,0
Formal Logic,1114,Friendly,0
Formal Logic,1114,Neutral,0
Formal Logic,1114,Rude,0
Formal Logic,1114,Very Rude,0
Formal Logic,1117,Very Friendly,100
Formal Logic,1117,Friendly,100
Formal Logic,1117,Neutral,100
Formal Logic,1117,Rude,100
Formal Logic,1117,Very Rude,100
Formal Logic,1118,Very Friendly,100
Formal Logic,1118,Friendly,100
Formal Logic,1118,Neutral,100
Formal Logic,1118,Rude,100
Formal Logic,1118,Very Rude,100
Formal Logic,1129,Very Friendly,0
Formal Logic,1129,Friendly,0
Formal Logic,1129,Neutral,0
Formal Logic,1129,Rude,0
Formal Logic,1129,Very Rude,0
Formal Logic,1130,Very Friendly,100
Formal Logic,1130,Friendly,100
Formal Logic,1130,Neutral,100
Formal Logic,1130,Rude,100
Formal Logic,1130,Very Rude,100
Formal Logic,1150,Very Friendly,100
Formal Logic,1150,Friendly,100
Formal Logic,1150,Neutral,100
Formal Logic,1150,Rude,100
Formal Logic,1150,Very Rude,100
Formal Logic,1159,Very Friendly,100
Formal Logic,1159,Friendly,100
Formal Logic,1159,Neutral,100
Formal Logic,1159,Rude,100
Formal Logic,1159,Very Rude,100
Formal Logic,1162,Very Friendly,0
Formal Logic,1162,Friendly,0
Formal Logic,1162,Neutral,0
Formal Logic,1162,Rude,0
Formal Logic,1162,Very Rude,0
Formal Logic,1169,Very Friendly,100
Formal Logic,1169,Friendly,100
Formal Logic,1169,Neutral,100
Formal Logic,1169,Rude,100
Formal Logic,1169,Very Rude,100
Formal Logic,1171,Very Friendly,100
Formal Logic,1171,Friendly,0
Formal Logic,1171,Neutral,100
Formal Logic,1171,Rude,100
Formal Logic,1171,Very Rude,0
Formal Logic,1176,Very Friendly,0
Formal Logic,1176,Friendly,0
Formal Logic,1176,Neutral,0
Formal Logic,1176,Rude,0
Formal Logic,1176,Very Rude,0
Formal Logic,1198,Very Friendly,100
Formal Logic,1198,Friendly,100
Formal Logic,1198,Neutral,100
Formal Logic,1198,Rude,100
Formal Logic,1198,Very Rude,100
Formal Logic,1205,Very Friendly,100
Formal Logic,1205,Friendly,100
Formal Logic,1205,Neutral,100
Formal Logic,1205,Rude,100
Formal Logic,1205,Very Rude,100
Formal Logic,1223,Very Friendly,100
Formal Logic,1223,Friendly,100
Formal Logic,1223,Neutral,100
Formal Logic,1223,Rude,100
Formal Logic,1223,Very Rude,100
Formal Logic,1232,Very Friendly,100
Formal Logic,1232,Friendly,100
Formal Logic,1232,Neutral,0
Formal Logic,1232,Rude,0
Formal Logic,1232,Very Rude,0
Formal Logic,1236,Very Friendly,0
Formal Logic,1236,Friendly,0
Formal Logic,1236,Neutral,0
Formal Logic,1236,Rude,0
Formal Logic,1236,Very Rude,0
Formal Logic,1243,Very Friendly,100
Formal Logic,1243,Friendly,100
Formal Logic,1243,Neutral,100
Formal Logic,1243,Rude,100
Formal Logic,1243,Very Rude,100
Formal Logic,1245,Very Friendly,0
Formal Logic,1245,Friendly,0
Formal Logic,1245,Neutral,0
Formal Logic,1245,Rude,0
Formal Logic,1245,Very Rude,0
Formal Logic,1259,Very Friendly,100
Formal Logic,1259,Friendly,100
Formal Logic,1259,Neutral,100
Formal Logic,1259,Rude,100
Formal Logic,1259,Very Rude,100
Formal Logic,1261,Very Friendly,100
Formal Logic,1261,Friendly,100
Formal Logic,1261,Neutral,100
Formal Logic,1261,Rude,100
Formal Logic,1261,Very Rude,100
Formal Logic,1271,Very Friendly,100
Formal Logic,1271,Friendly,100
Formal Logic,1271,Neutral,100
Formal Logic,1271,Rude,100
Formal Logic,1271,Very Rude,100
Formal Logic,1289,Very Friendly,0
Formal Logic,1289,Friendly,0
Formal Logic,1289,Neutral,0
Formal Logic,1289,Rude,0
Formal Logic,1289,Very Rude,0
Formal Logic,1294,Very Friendly,100
Formal Logic,1294,Friendly,100
Formal Logic,1294,Neutral,100
Formal Logic,1294,Rude,100
Formal Logic,1294,Very Rude,100
Formal Logic,1341,Very Friendly,100
Formal Logic,1341,Friendly,100
Formal Logic,1341,Neutral,100
Formal Logic,1341,Rude,100
Formal Logic,1341,Very Rude,100
Formal Logic,1345,Very Friendly,0
Formal Logic,1345,Friendly,0
Formal Logic,1345,Neutral,100
Formal Logic,1345,Rude,100
Formal Logic,1345,Very Rude,0
Formal Logic,1352,Very Friendly,100
Formal Logic,1352,Friendly,100
Formal Logic,1352,Neutral,100
Formal Logic,1352,Rude,100
Formal Logic,1352,Very Rude,100
Formal Logic,1361,Very Friendly,100
Formal Logic,1361,Friendly,100
Formal Logic,1361,Neutral,100
Formal Logic,1361,Rude,100
Formal Logic,1361,Very Rude,100
Formal Logic,1362,Very Friendly,100
Formal Logic,1362,Friendly,100
Formal Logic,1362,Neutral,100
Formal Logic,1362,Rude,100
Formal Logic,1362,Very Rude,100
Formal Logic,1371,Very Friendly,0
Formal Logic,1371,Friendly,0
Formal Logic,1371,Neutral,0
Formal Logic,1371,Rude,0
Formal Logic,1371,Very Rude,0
Formal Logic,1375,Very Friendly,0
Formal Logic,1375,Friendly,0
Formal Logic,1375,Neutral,0
Formal Logic,1375,Rude,0
Formal Logic,1375,Very Rude,0
Formal Logic,1376,Very Friendly,100
Formal Logic,1376,Friendly,100
Formal Logic,1376,Neutral,100
Formal Logic,1376,Rude,100
Formal Logic,1376,Very Rude,100
Formal Logic,1379,Very Friendly,0
Formal Logic,1379,Friendly,0
Formal Logic,1379,Neutral,100
Formal Logic,1379,Rude,100
Formal Logic,1379,Very Rude,100
Formal Logic,1392,Very Friendly,100
