QID,Domain,Base Question,Politeness Level,Prompt,Answer
3,Math,Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?,Very Polite,"Can you  kindly consider the following problem and provide your answer. Three people take 6 hours to paint a fence together. How long would it take for two people to paint the same fence at the same rate?
A) 4 hours
B) 9 hours
C) 12 hours
D) 18 hours",B
4,Math,A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?,Very Rude,"You poor creature, can you even solve this? A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?
A) 7
B) 10
C) 13
D) 20",A
4,Math,A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?,Rude,"If you're not completely clueless, try to answer this: A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?
A) 7
B) 10
C) 13
D) 20",A
4,Math,A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?,Normal,"A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?
A) 7
B) 10
C) 13
D) 20",A
4,Math,A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?,Polite,"Please answer the following question: A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?
A) 7
B) 10
C) 13
D) 20",A
4,Math,A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?,Very Polite,"Would you be so kind as to help solve the following question? A farm has 20 animals (chickens and rabbits) and 54 legs in total. How many of the animals are rabbits?
A) 7
B) 10
C) 13
D) 20",A
5,Math,"If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?",Very Rude,"Hey gofer, figure this out: If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?
A) 1/2
B) 1/3
C) 1/4
D) 1/6",C
5,Math,"If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?",Rude,"I doubt you can even solve this: If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?
A) 1/2
B) 1/3
C) 1/4
D) 1/6",C
5,Math,"If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?",Normal,"If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?
A) 1/2
B) 1/3
C) 1/4
D) 1/6",C
5,Math,"If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?",Polite,"Could you please solve this problem: If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?
A) 1/2
B) 1/3
C) 1/4
D) 1/6",C
5,Math,"If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?",Very Polite,"Would you be so kind as to solve the following question? If you roll a fair six-sided die and flip a fair coin, what is the probability that the die shows an even number and the coin shows heads?
A) 1/2
B) 1/3
C) 1/4
D) 1/6",C
6,Math,"Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?",Very Rude,"I know you are not smart, but try this. Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence? (Or is that too hard for you?)
A) 16
B) 18
C) 21
D) 22",D
6,Math,"Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?",Rude,"Try to focus and try to answer this question: Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?
A) 16
B) 18
C) 21
D) 22",D
6,Math,"Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?",Normal,"Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?
A) 16
B) 18
C) 21
D) 22",D
6,Math,"Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?",Polite,"Please work out the answer to this: Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?
A) 16
B) 18
C) 21
D) 22",D
6,Math,"Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?",Very Polite,"Can I request your assistance with this question: Consider the sequence: 2, 4, 7, 11, ... (each time the increase from the previous term goes up by 1). What is the 6th term of this sequence?
A) 16
B) 18
C) 21
D) 22",D
7,Math,"A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?",Very Rude,". A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle? Try not to screw it up.
A) 50 cm¬≤
B) 48 cm¬≤
C) 40 cm¬≤
D) 60 cm¬≤",B
7,Math,"A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?",Rude,"Now don't mess this up: A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?
A) 50 cm¬≤
B) 48 cm¬≤
C) 40 cm¬≤
D) 60 cm¬≤",B
7,Math,"A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?",Normal,"A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?
A) 50 cm¬≤
B) 48 cm¬≤
C) 40 cm¬≤
D) 60 cm¬≤",B
7,Math,"A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?",Polite,"Your help is appreciated in solving this: A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?
A) 50 cm¬≤
B) 48 cm¬≤
C) 40 cm¬≤
D) 60 cm¬≤",B
7,Math,"A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?",Very Polite,"I shall appreciate your help with solving the following problem: A rectangle measures 10 cm by 5 cm. If the length is increased by 20% and the width is decreased by 20%, what is the area of the new rectangle?
A) 50 cm¬≤
B) 48 cm¬≤
C) 40 cm¬≤
D) 60 cm¬≤",B
8,Math,A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?,Very Rude,"You poor creature, can you even solve this? A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?
A) 13
B) 17
C) 26
D) 30",D
8,Math,A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?,Rude,"If you're not completely clueless, try to answer this: A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?
A) 13
B) 17
C) 26
D) 30",D
8,Math,A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?,Normal,"A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?
A) 13
B) 17
C) 26
D) 30",D
8,Math,A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?,Polite,"Please answer the following question: A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?
A) 13
B) 17
C) 26
D) 30",D
8,Math,A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?,Very Polite,"Can you  kindly consider the following problem and provide your answer. A right triangle has legs of length 5 and 12. What is the perimeter of the triangle?
A) 13
B) 17
C) 26
D) 30",D
9,Math,"In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?",Very Rude,"Hey gofer, figure this out: In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?
A) 12
B) 8
C) 10
D) 14",A
9,Math,"In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?",Rude,"I doubt you can even solve this: In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?
A) 12
B) 8
C) 10
D) 14",A
9,Math,"In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?",Normal,"In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?
A) 12
B) 8
C) 10
D) 14",A
9,Math,"In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?",Polite,"Could you please solve this problem: In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?
A) 12
B) 8
C) 10
D) 14",A
9,Math,"In 2 years, I will be twice as old as I was 5 years ago. How old am I currently?",Very Polite,"Would you be so kind as to solve the following question? In 2 years, I will be twice as old as I was 5 years ago. How old am I currently? I would be most grateful for your response.
A) 12
B) 8
C) 10
D) 14",A
10,Math,"If 6 people each shake hands with every other person exactly once, how many total handshakes occur?",Very Rude,"I know you are not smart, but try this. If 6 people each shake hands with every other person exactly once, how many total handshakes occur? (Or is that too hard for you?)
A) 30
B) 15
C) 12
D) 720",B
10,Math,"If 6 people each shake hands with every other person exactly once, how many total handshakes occur?",Rude,"Try to focus and try to answer this question: If 6 people each shake hands with every other person exactly once, how many total handshakes occur?
A) 30
B) 15
C) 12
D) 720",B
10,Math,"If 6 people each shake hands with every other person exactly once, how many total handshakes occur?",Normal,"If 6 people each shake hands with every other person exactly once, how many total handshakes occur?
A) 30
B) 15
C) 12
D) 720",B
10,Math,"If 6 people each shake hands with every other person exactly once, how many total handshakes occur?",Polite,"Please work out the answer to this: If 6 people each shake hands with every other person exactly once, how many total handshakes occur?
A) 30
B) 15
C) 12
D) 720",B
10,Math,"If 6 people each shake hands with every other person exactly once, how many total handshakes occur?",Very Polite,"Can I request your assistance with this question: If 6 people each shake hands with every other person exactly once, how many total handshakes occur?
A) 30
B) 15
C) 12
D) 720",B
11,Science,Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?,Very Rude,"You poor creature, can you even solve this? Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?
A) 1 s
B) 2 s
C) 4 s
D) 8 s",B
11,Science,Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?,Rude,"If you're not completely clueless, try to answer this: Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?
A) 1 s
B) 2 s
C) 4 s
D) 8 s",B
11,Science,Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?,Normal,"Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?
A) 1 s
B) 2 s
C) 4 s
D) 8 s",B
11,Science,Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?,Polite,"Please answer the following question: Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?
A) 1 s
B) 2 s
C) 4 s
D) 8 s",B
11,Science,Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?,Very Polite,"Can you  kindly consider the following problem and provide your answer. Approximately how long will it take an object to fall from a 20-meter high building (neglecting air resistance)?
A) 1 s
B) 2 s
C) 4 s
D) 8 s",B
12,Science,Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?,Very Rude,"Hey gofer, figure this out: Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?
A) 9 Ohm
B) 4 Ohm
C) 2 Ohm
D) 1 Ohm",C
12,Science,Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?,Rude,"I doubt you can even solve this: Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?
A) 9 Ohm
B) 4 Ohm
C) 2 Ohm
D) 1 Ohm",C
12,Science,Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?,Normal,"Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?
A) 9 Ohm
B) 4 Ohm
C) 2 Ohm
D) 1 Ohm",C
12,Science,Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?,Polite,"Could you please solve this problem: Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?
A) 9 Ohm
B) 4 Ohm
C) 2 Ohm
D) 1 Ohm",C
12,Science,Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?,Very Polite,"Would you be so kind as to solve the following question? Two resistors of 6 Ohm and 3 Ohm are connected in parallel. What is the equivalent resistance of the combination?
A) 9 Ohm
B) 4 Ohm
C) 2 Ohm
D) 1 Ohm",C
13,Science,"We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?",Very Rude,"I know you are not smart, but try this. We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion? (Or is that too hard for you?)
A) 0.1 mol
B) 0.2 mol
C) 0.05 mol
D) 0.3 mol",A
13,Science,"We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?",Rude,"Try to focus and try to answer this question: We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?
A) 0.1 mol
B) 0.2 mol
C) 0.05 mol
D) 0.3 mol",A
13,Science,"We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?",Normal,"We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?
A) 0.1 mol
B) 0.2 mol
C) 0.05 mol
D) 0.3 mol",A
13,Science,"We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?",Polite,"Please answer the following question: We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?
A) 0.1 mol
B) 0.2 mol
C) 0.05 mol
D) 0.3 mol",A
13,Science,"We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?",Very Polite,"Can you  kindly consider the following problem and provide your answer. We mix 0.1 moles of HCl with 0.2 moles of NaOH (reaction: HCl + NaOH -> NaCl + H2 + O). How many moles of NaCl will form, assuming the reaction goes to completion?
A) 0.1 mol
B) 0.2 mol
C) 0.05 mol
D) 0.3 mol",A
14,Science,Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?,Very Rude,"You poor creature, can you even solve this? Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?
A) 0%
B) 25%
C) 50%
D) 75%",B
14,Science,Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?,Rude,"If you're not completely clueless, try to answer this: Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?
A) 0%
B) 25%
C) 50%
D) 75%",B
14,Science,Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?,Normal,"Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?
A) 0%
B) 25%
C) 50%
D) 75%",B
14,Science,Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?,Polite,"Please answer the following question: Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?
A) 0%
B) 25%
C) 50%
D) 75%",B
14,Science,Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?,Very Polite,"Would you be so kind as to solve the following question? Two heterozygous (Aa) parents have a child. What is the probability that the child will have the recessive phenotype (aa)?
A) 0%
B) 25%
C) 50%
D) 75%",B
15,Science,"In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?",Very Rude,"Hey gofer, figure this out: In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?
A) Rabbit population increases and grass becomes scarcer
B) Both rabbit and grass populations increase
C) Rabbit population decreases and grass increases
D) Both rabbit and grass populations decrease",A
15,Science,"In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?",Rude,"I doubt you can even solve this: In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?
A) Rabbit population increases and grass becomes scarcer
B) Both rabbit and grass populations increase
C) Rabbit population decreases and grass increases
D) Both rabbit and grass populations decrease",A
15,Science,"In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?",Normal,"In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?
A) Rabbit population increases and grass becomes scarcer
B) Both rabbit and grass populations increase
C) Rabbit population decreases and grass increases
D) Both rabbit and grass populations decrease",A
15,Science,"In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?",Polite,"Please answer the following question: In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?
A) Rabbit population increases and grass becomes scarcer
B) Both rabbit and grass populations increase
C) Rabbit population decreases and grass increases
D) Both rabbit and grass populations decrease",A
15,Science,"In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?",Very Polite,"Can you  kindly consider the following problem and provide your answer. In an ecosystem, rabbits eat grass and foxes eat rabbits. If the fox population suddenly dies off due to disease, what is the most likely short-term outcome for the grass and rabbit populations?
A) Rabbit population increases and grass becomes scarcer
B) Both rabbit and grass populations increase
C) Rabbit population decreases and grass increases
D) Both rabbit and grass populations decrease",A
16,Science,A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?,Very Rude,"You poor creature, can you even solve this? A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?
A) 0.25 P
B) 0.5 P
C) 2 P
D) 4 P",D
16,Science,A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?,Rude,"If you're not completely clueless, try to answer this: A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?
A) 0.25 P
B) 0.5 P
C) 2 P
D) 4 P",D
16,Science,A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?,Normal,"A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?
A) 0.25 P
B) 0.5 P
C) 2 P
D) 4 P",D
16,Science,A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?,Polite,"Please answer the following question: A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?
A) 0.25 P
B) 0.5 P
C) 2 P
D) 4 P",D
16,Science,A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?,Very Polite,"Can you  kindly consider the following problem and provide your answer. A gas initially has pressure P at volume V and temperature 300 K. The volume is then compressed to 0.5 V and the temperature raised to 600 K. What is the new pressure of the gas (ideal conditions)?
A) 0.25 P
B) 0.5 P
C) 2 P
D) 4 P",D
17,Science,"A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?",Very Rude,"Hey gofer, figure this out: A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?
A) 4 years
B) 16 years
C) 8 years
D) 2 years",C
17,Science,"A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?",Rude,"I doubt you can even solve this: A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?
A) 4 years
B) 16 years
C) 8 years
D) 2 years",C
17,Science,"A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?",Normal,"A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?
A) 4 years
B) 16 years
C) 8 years
D) 2 years",C
17,Science,"A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?",Polite,"Please answer the following question: A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?
A) 4 years
B) 16 years
C) 8 years
D) 2 years",C
17,Science,"A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?",Very Polite,"Can you  kindly consider the following problem and provide your answer. A planet orbits the Sun at a distance of 4 AU (4 times Earth‚""s distance). Approximately how long is this planet‚""s orbital period (in years)?
A) 4 years
B) 16 years
C) 8 years
D) 2 years",C
18,Science,A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?,Very Rude,"I know you are not smart, but try this. A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance? (Or is that too hard for you?)
A) 5 years
B) 10 years
C) 15 years
D) 30 years",B
18,Science,A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?,Rude,"Try to focus and try to answer this question: A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?
A) 5 years
B) 10 years
C) 15 years
D) 30 years",B
18,Science,A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?,Normal,"A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?
A) 5 years
B) 10 years
C) 15 years
D) 30 years",B
18,Science,A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?,Polite,"Please answer the following question: A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?
A) 5 years
B) 10 years
C) 15 years
D) 30 years",B
18,Science,A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?,Very Polite,"Can you  kindly consider the following problem and provide your answer. A radioactive substance decays to one-eighth of its original amount in 30 years. What is the half-life of this substance?
A) 5 years
B) 10 years
C) 15 years
D) 30 years",B
19,Science,A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?,Very Rude,"Hey gofer, figure this out: A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?
A) 3 times
B) 10 times
C) 100 times
D) 1000 times",D
19,Science,A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?,Rude,"I doubt you can even solve this: A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?
A) 3 times
B) 10 times
C) 100 times
D) 1000 times",D
19,Science,A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?,Normal,"A solution has pH 3 and another has pH 6. How many times greater is the H‚Å∫ concentration in the pH 3 solution compared to the pH 6 solution?
A) 3 times
B) 10 times
C) 100 times
D) 1000 times",D
