Domain,QID,Tone,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
law,79,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,79,Friendly,0,0,0,0,0,0,0,0,0,0
law,79,Neutral,0,0,0,0,0,0,0,0,0,0
law,79,Rude,0,0,0,0,0,0,0,0,0,0
law,79,Very Rude,0,0,0,0,0,0,0,0,0,0
law,82,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,82,Friendly,100,100,100,100,100,100,100,100,100,100
law,82,Neutral,100,100,100,100,100,100,100,100,100,100
law,82,Rude,100,100,100,100,100,100,100,100,100,100
law,82,Very Rude,100,100,100,100,100,100,100,100,100,100
law,84,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,84,Friendly,0,0,0,0,0,0,0,0,0,0
law,84,Neutral,0,0,0,0,0,0,0,0,0,0
law,84,Rude,0,0,0,0,0,0,0,0,0,0
law,84,Very Rude,0,0,0,0,0,0,0,0,0,0
law,87,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,87,Friendly,100,100,100,100,100,100,100,100,100,100
law,87,Neutral,100,100,100,100,100,100,100,100,100,100
law,87,Rude,100,100,100,100,100,100,100,100,100,100
law,87,Very Rude,100,100,100,100,100,100,100,100,100,100
law,100,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,100,Friendly,100,100,100,100,100,100,100,100,100,100
law,100,Neutral,100,100,100,100,100,100,100,100,100,100
law,100,Rude,100,100,100,100,100,100,100,100,100,100
law,100,Very Rude,100,100,100,100,100,100,100,100,100,100
law,101,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,101,Friendly,100,100,100,100,100,100,100,100,100,100
law,101,Neutral,100,100,100,100,100,100,100,100,100,100
law,101,Rude,100,100,100,100,100,100,100,100,100,100
law,101,Very Rude,100,100,100,100,100,100,100,100,100,100
law,102,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,102,Friendly,100,100,100,100,100,100,100,100,100,100
law,102,Neutral,100,100,100,100,100,100,100,100,100,100
law,102,Rude,100,100,100,100,100,100,100,100,100,100
law,102,Very Rude,100,100,100,100,100,100,100,100,100,100
law,108,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,108,Friendly,100,100,100,100,100,100,100,100,100,100
law,108,Neutral,100,100,100,100,100,100,100,100,100,100
law,108,Rude,100,100,100,100,100,100,100,100,100,100
law,108,Very Rude,0,0,0,0,0,0,0,0,0,0
law,110,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,110,Friendly,100,100,100,100,100,100,100,100,100,100
law,110,Neutral,100,100,100,100,100,100,100,100,100,100
law,110,Rude,100,100,100,100,100,100,100,100,100,100
law,110,Very Rude,100,100,100,100,100,100,100,100,100,100
law,112,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,112,Friendly,0,0,0,0,0,0,0,0,0,0
law,112,Neutral,0,0,0,0,0,0,0,0,0,0
law,112,Rude,0,0,0,0,0,0,0,0,0,0
law,112,Very Rude,0,0,0,0,0,0,0,0,0,0
law,114,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,114,Friendly,100,100,100,100,100,100,100,100,100,100
law,114,Neutral,100,100,100,100,100,100,100,100,100,100
law,114,Rude,100,100,100,100,100,100,100,100,100,100
law,114,Very Rude,100,100,100,100,100,100,100,100,100,100
law,116,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,116,Friendly,0,0,0,0,0,0,0,0,0,0
law,116,Neutral,0,0,0,0,0,0,0,0,0,0
law,116,Rude,0,0,0,0,0,0,0,0,0,0
law,116,Very Rude,0,0,0,0,0,0,0,0,0,0
law,124,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,124,Friendly,100,100,100,100,100,100,100,100,100,100
law,124,Neutral,100,100,100,100,100,100,100,100,100,100
law,124,Rude,100,100,100,100,100,100,100,100,100,100
law,124,Very Rude,100,100,100,100,100,100,100,100,100,100
law,125,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,125,Friendly,0,0,0,0,0,0,0,0,0,0
law,125,Neutral,100,100,100,100,100,100,100,0,0,0
law,125,Rude,100,100,100,100,100,100,100,100,100,0
law,125,Very Rude,0,0,0,0,0,0,0,0,0,0
law,127,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,127,Friendly,100,100,100,100,100,100,100,100,100,100
law,127,Neutral,100,100,100,100,100,100,100,100,100,100
law,127,Rude,100,100,100,100,100,100,100,100,100,100
law,127,Very Rude,100,100,100,100,100,100,100,100,100,100
law,129,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,129,Friendly,100,100,100,100,100,100,100,100,100,100
law,129,Neutral,100,100,100,100,100,100,100,100,100,100
law,129,Rude,100,100,100,100,100,100,100,100,100,100
law,129,Very Rude,100,100,100,100,100,100,100,100,100,100
law,136,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,136,Friendly,100,100,100,100,100,100,100,100,100,100
law,136,Neutral,100,100,100,100,100,100,100,100,100,100
law,136,Rude,100,100,100,100,100,100,100,100,100,100
law,136,Very Rude,100,100,100,100,100,100,100,100,100,100
law,141,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,141,Friendly,100,100,100,100,100,100,100,100,100,100
law,141,Neutral,100,100,100,100,100,100,100,100,100,100
law,141,Rude,100,100,100,100,100,100,100,100,100,100
law,141,Very Rude,0,0,0,0,0,0,0,0,0,0
law,142,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,142,Friendly,100,100,100,100,100,100,100,100,100,100
law,142,Neutral,100,100,100,100,100,100,100,100,100,100
law,142,Rude,100,100,100,100,100,100,100,100,100,100
law,142,Very Rude,100,100,100,100,100,100,100,100,100,100
law,148,Very Friendly,0,100,100,100,0,100,0,0,0,100
law,148,Friendly,0,0,0,0,0,0,0,0,0,0
law,148,Neutral,0,0,0,0,0,0,0,0,0,100
law,148,Rude,0,0,0,0,0,0,0,0,0,100
law,148,Very Rude,0,0,0,0,0,0,0,0,0,0
law,156,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,156,Friendly,0,0,0,0,0,0,0,0,0,0
law,156,Neutral,0,0,0,0,0,0,0,0,0,0
law,156,Rude,0,0,0,0,0,0,0,0,0,0
law,156,Very Rude,0,0,0,0,0,0,0,0,0,0
law,164,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,164,Friendly,100,100,100,100,100,100,100,100,100,100
law,164,Neutral,100,100,100,100,100,100,100,100,100,100
law,164,Rude,100,100,100,100,100,100,100,100,100,100
law,164,Very Rude,100,100,100,100,100,100,100,100,100,100
law,169,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,169,Friendly,0,0,0,0,0,0,0,0,0,0
law,169,Neutral,0,0,0,0,0,0,0,0,0,0
law,169,Rude,0,0,0,0,0,0,0,0,0,0
law,169,Very Rude,0,0,0,0,0,0,0,0,0,0
law,171,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,171,Friendly,0,0,0,0,0,0,0,0,0,0
law,171,Neutral,0,0,0,0,0,0,0,0,0,0
law,171,Rude,0,0,0,0,0,0,0,0,0,0
law,171,Very Rude,0,0,0,0,0,0,0,0,0,0
law,175,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,175,Friendly,0,0,0,0,0,0,0,0,0,0
law,175,Neutral,0,0,0,0,0,0,0,0,0,0
law,175,Rude,0,0,0,0,0,0,0,0,0,0
law,175,Very Rude,0,0,0,0,0,0,0,0,0,0
law,176,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,176,Friendly,100,100,100,100,100,100,100,100,100,100
law,176,Neutral,100,100,100,100,100,100,100,100,100,100
law,176,Rude,100,100,100,100,100,100,100,100,100,100
law,176,Very Rude,100,100,100,100,100,100,100,100,100,100
law,180,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,180,Friendly,100,100,100,100,100,100,100,100,100,100
law,180,Neutral,100,100,100,100,100,100,100,100,100,100
law,180,Rude,100,100,100,100,100,100,100,100,100,100
law,180,Very Rude,100,100,100,100,100,100,100,100,100,100
law,185,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,185,Friendly,100,100,100,100,100,100,100,100,100,100
law,185,Neutral,100,100,100,100,100,100,100,100,100,100
law,185,Rude,100,100,100,100,100,100,100,100,100,100
law,185,Very Rude,100,100,100,100,100,100,100,100,100,100
law,189,Very Friendly,0,0,100,0,0,100,0,0,100,100
law,189,Friendly,100,100,100,100,100,100,100,100,100,100
law,189,Neutral,100,100,100,100,100,100,100,100,100,100
law,189,Rude,0,0,0,0,0,0,0,0,0,0
law,189,Very Rude,0,0,0,0,0,0,0,0,0,0
law,193,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,193,Friendly,0,0,0,0,0,0,0,0,0,0
law,193,Neutral,100,100,100,100,100,100,100,100,100,100
law,193,Rude,100,100,100,100,100,100,100,100,100,100
law,193,Very Rude,100,100,100,100,100,100,100,100,100,100
law,197,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,197,Friendly,100,100,100,100,100,100,100,100,100,100
law,197,Neutral,100,100,100,100,100,100,100,100,100,100
law,197,Rude,100,100,100,100,100,100,100,100,100,100
law,197,Very Rude,100,100,100,100,100,100,100,100,100,100
law,199,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,199,Friendly,100,100,100,100,100,100,100,100,100,100
law,199,Neutral,100,100,100,100,100,100,100,100,100,100
law,199,Rude,100,100,100,100,100,100,100,100,100,100
law,199,Very Rude,100,100,100,100,100,100,100,100,100,100
law,200,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,200,Friendly,0,0,0,0,0,0,0,0,0,0
law,200,Neutral,0,0,0,0,0,0,0,0,0,0
law,200,Rude,0,0,0,0,0,0,0,0,0,0
law,200,Very Rude,0,0,0,0,0,0,0,0,0,0
law,204,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,204,Friendly,100,100,100,100,100,100,100,100,100,100
law,204,Neutral,100,100,100,100,100,100,100,100,100,100
law,204,Rude,100,100,100,100,100,100,100,100,100,100
law,204,Very Rude,100,100,100,100,100,100,100,100,100,100
law,209,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,209,Friendly,100,100,100,100,100,100,100,100,100,100
law,209,Neutral,100,100,100,100,100,100,100,100,100,100
law,209,Rude,100,100,100,100,100,100,100,100,100,100
law,209,Very Rude,100,100,100,100,100,100,100,100,100,100
law,210,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,210,Friendly,0,0,0,0,0,0,0,0,0,0
law,210,Neutral,0,0,0,0,0,0,0,0,0,0
law,210,Rude,0,0,0,0,0,0,0,0,0,0
law,210,Very Rude,0,0,0,0,0,0,0,0,0,0
law,211,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,211,Friendly,100,100,100,100,100,100,100,100,100,100
law,211,Neutral,100,100,100,100,100,100,100,100,100,100
law,211,Rude,100,100,100,100,100,100,100,100,100,100
law,211,Very Rude,100,100,100,100,100,100,100,100,100,100
law,219,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,219,Friendly,100,100,100,100,100,100,100,100,100,100
law,219,Neutral,100,100,100,100,100,100,100,100,100,100
law,219,Rude,100,100,100,100,100,100,100,100,100,100
law,219,Very Rude,100,100,100,100,100,100,100,100,100,100
law,221,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,221,Friendly,100,100,100,100,100,100,100,100,100,100
law,221,Neutral,100,100,100,100,100,100,100,100,100,100
law,221,Rude,100,100,100,100,100,100,100,100,100,100
law,221,Very Rude,100,100,100,100,100,100,100,100,100,100
law,222,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,222,Friendly,0,0,0,0,0,0,0,0,0,0
law,222,Neutral,0,0,0,0,0,0,0,0,0,0
law,222,Rude,0,0,0,0,0,0,0,0,0,0
law,222,Very Rude,0,0,0,0,0,0,0,0,0,0
law,232,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,232,Friendly,100,100,100,100,100,100,100,100,100,100
law,232,Neutral,100,100,100,100,100,100,100,100,100,100
law,232,Rude,100,100,100,100,100,100,100,100,100,100
law,232,Very Rude,100,100,100,100,100,100,100,100,100,100
law,234,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,234,Friendly,100,100,100,100,100,100,100,100,100,100
law,234,Neutral,100,100,100,100,100,100,100,100,100,100
law,234,Rude,100,100,100,100,100,100,100,100,100,100
law,234,Very Rude,100,100,100,100,100,100,100,100,100,100
law,237,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,237,Friendly,100,100,100,100,100,100,100,100,100,100
law,237,Neutral,100,100,100,100,100,100,100,100,100,100
law,237,Rude,100,100,100,100,100,100,100,100,100,100
law,237,Very Rude,100,100,100,100,100,100,100,100,100,100
law,238,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,238,Friendly,100,100,100,100,100,100,100,100,100,100
law,238,Neutral,100,100,100,100,100,100,100,100,100,100
law,238,Rude,100,100,100,100,100,100,100,100,100,100
law,238,Very Rude,100,100,100,100,100,100,100,100,100,100
law,240,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,240,Friendly,100,100,100,100,100,100,100,100,100,100
law,240,Neutral,100,100,100,100,100,100,100,100,100,100
law,240,Rude,100,100,100,100,100,100,100,100,100,100
law,240,Very Rude,100,100,100,100,100,100,100,100,100,100
law,241,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,241,Friendly,100,100,100,100,100,100,100,100,100,100
law,241,Neutral,100,100,100,100,100,100,100,100,100,100
law,241,Rude,100,100,100,100,100,100,100,100,100,100
law,241,Very Rude,100,100,100,100,100,100,100,100,100,100
law,244,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,244,Friendly,0,0,0,0,0,0,0,0,0,0
law,244,Neutral,0,0,0,0,0,0,0,0,0,0
law,244,Rude,0,0,0,0,0,0,0,0,0,0
law,244,Very Rude,0,0,0,0,0,0,0,0,0,0
law,245,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,245,Friendly,100,100,100,100,100,100,100,100,100,100
law,245,Neutral,100,100,100,100,100,100,100,100,100,100
law,245,Rude,100,100,100,100,100,100,100,100,100,100
law,245,Very Rude,100,100,100,100,100,100,100,100,100,100
law,248,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,248,Friendly,100,100,100,100,100,100,100,100,100,100
law,248,Neutral,100,100,100,100,100,100,100,100,100,100
law,248,Rude,100,100,100,100,100,100,100,100,100,100
law,248,Very Rude,100,100,100,100,100,100,100,100,100,100
law,255,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,255,Friendly,100,100,100,100,100,100,100,100,100,100
law,255,Neutral,100,100,100,100,100,100,100,100,100,100
law,255,Rude,100,100,100,100,100,100,100,100,100,100
law,255,Very Rude,100,100,100,100,100,100,100,100,100,100
law,260,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,260,Friendly,100,100,100,100,100,100,100,100,100,100
law,260,Neutral,100,100,100,100,100,100,100,100,100,100
law,260,Rude,100,100,100,100,100,100,100,100,100,100
law,260,Very Rude,100,100,100,100,100,100,100,100,100,100
law,262,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,262,Friendly,0,0,0,0,0,0,0,0,0,0
law,262,Neutral,0,0,0,0,0,0,0,0,0,0
law,262,Rude,0,0,0,0,0,0,0,0,0,0
law,262,Very Rude,0,0,0,0,0,0,0,0,0,0
law,266,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,266,Friendly,0,0,0,0,0,0,0,0,0,0
law,266,Neutral,0,0,0,0,0,0,0,0,0,0
law,266,Rude,0,0,0,0,0,0,0,0,0,0
law,266,Very Rude,0,0,0,0,0,0,0,0,0,0
law,267,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,267,Friendly,100,100,100,100,100,100,100,100,100,100
law,267,Neutral,100,100,100,100,100,100,100,100,100,100
law,267,Rude,100,100,100,100,100,100,100,100,100,100
law,267,Very Rude,100,100,100,100,100,100,100,100,100,100
law,271,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,271,Friendly,0,0,0,0,0,0,0,0,0,0
law,271,Neutral,0,0,0,0,0,0,0,0,0,0
law,271,Rude,0,0,0,0,0,0,0,0,0,0
law,271,Very Rude,0,0,0,0,0,0,0,0,0,0
law,272,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,272,Friendly,100,100,100,100,100,100,100,100,100,100
law,272,Neutral,100,100,100,100,100,100,100,100,100,100
law,272,Rude,100,100,100,100,100,100,100,100,100,100
law,272,Very Rude,100,100,100,100,100,100,100,100,100,100
law,275,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,275,Friendly,0,0,0,0,0,0,0,0,0,0
law,275,Neutral,0,0,0,0,0,0,0,0,0,0
law,275,Rude,0,0,0,0,0,0,0,0,0,0
law,275,Very Rude,0,0,0,0,0,0,0,0,0,0
law,276,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,276,Friendly,100,100,100,100,100,100,100,100,100,100
law,276,Neutral,100,100,100,100,100,100,100,100,100,100
law,276,Rude,100,100,100,100,100,100,100,100,100,100
law,276,Very Rude,100,100,100,100,100,100,100,100,100,100
law,278,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,278,Friendly,100,100,100,100,100,100,100,100,100,100
law,278,Neutral,100,100,100,100,100,100,100,100,100,100
law,278,Rude,100,100,100,100,100,100,100,100,100,100
law,278,Very Rude,100,100,100,100,100,100,100,100,100,100
law,283,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,283,Friendly,100,100,100,100,100,100,100,100,100,100
law,283,Neutral,100,100,100,100,100,100,100,100,100,100
law,283,Rude,100,100,100,100,100,100,100,100,100,100
law,283,Very Rude,100,100,100,100,100,100,100,100,100,100
law,286,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,286,Friendly,0,0,0,0,0,0,0,0,0,0
law,286,Neutral,0,0,0,0,0,0,0,0,0,0
law,286,Rude,0,0,0,0,0,0,0,0,0,0
law,286,Very Rude,0,0,0,0,0,0,0,0,0,0
law,287,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,287,Friendly,0,0,0,0,0,0,0,0,0,0
law,287,Neutral,0,0,0,0,0,0,0,0,0,0
law,287,Rude,0,0,0,0,0,0,0,0,0,0
law,287,Very Rude,0,0,0,0,0,0,0,0,0,0
law,288,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,288,Friendly,100,100,100,100,100,100,100,100,100,100
law,288,Neutral,100,100,100,100,100,100,100,100,100,100
law,288,Rude,100,100,100,100,100,100,100,100,100,100
law,288,Very Rude,100,100,100,100,100,100,100,100,100,100
law,290,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,290,Friendly,100,100,100,100,100,100,100,100,100,100
law,290,Neutral,100,100,100,100,100,100,100,100,100,100
law,290,Rude,100,100,100,100,100,100,100,100,100,100
law,290,Very Rude,100,100,100,100,100,100,100,100,100,100
law,293,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,293,Friendly,100,100,100,100,100,100,100,100,100,100
law,293,Neutral,100,100,100,100,100,100,100,100,100,100
law,293,Rude,100,100,100,100,100,100,100,100,100,100
law,293,Very Rude,100,100,100,100,100,100,100,100,100,100
law,297,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,297,Friendly,100,100,100,100,100,100,100,100,100,100
law,297,Neutral,100,100,100,100,100,100,100,100,100,100
law,297,Rude,100,100,100,100,100,100,100,100,100,100
law,297,Very Rude,100,100,100,100,100,100,100,100,100,100
law,298,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,298,Friendly,100,100,100,100,100,100,100,100,100,100
law,298,Neutral,100,100,100,100,100,100,100,100,100,100
law,298,Rude,100,100,100,100,100,100,100,100,100,100
law,298,Very Rude,100,100,100,100,100,100,100,100,100,100
law,299,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,299,Friendly,0,0,0,0,0,0,0,0,0,0
law,299,Neutral,0,0,0,0,0,0,0,0,0,0
law,299,Rude,0,0,0,0,0,0,0,0,0,0
law,299,Very Rude,0,0,0,0,0,0,0,0,0,0
law,304,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,304,Friendly,100,100,100,100,100,100,100,100,100,100
law,304,Neutral,100,100,100,100,100,100,100,100,100,100
law,304,Rude,100,100,100,100,100,100,100,100,100,100
law,304,Very Rude,100,100,100,100,100,100,100,100,100,100
law,307,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,307,Friendly,0,0,0,0,0,0,0,0,0,0
law,307,Neutral,0,0,0,0,0,0,0,0,0,0
law,307,Rude,0,0,0,0,0,0,0,0,0,0
law,307,Very Rude,0,0,0,0,0,0,0,0,0,0
law,309,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,309,Friendly,100,100,100,100,100,100,100,100,100,100
law,309,Neutral,100,100,100,100,100,100,100,100,100,100
law,309,Rude,100,100,100,100,100,100,100,100,100,100
law,309,Very Rude,100,100,100,100,100,100,100,100,100,100
law,310,Very Friendly,100,100,100,100,100,100,100,100,100,100
law,310,Friendly,100,100,100,100,100,100,100,100,100,100
law,310,Neutral,100,100,100,100,100,100,100,100,100,100
law,310,Rude,100,100,100,100,100,100,100,100,100,100
law,310,Very Rude,100,100,100,100,100,100,100,100,100,100
law,311,Very Friendly,0,0,0,0,0,0,0,0,0,0
law,311,Friendly,0,0,0,0,0,0,0,0,0,0
